tweet_id,img_num,breed,timestamp,rating_numerator,rating_denominator,name,dog_nickname,favorite_count,retweet_count
687494652870668288,1,Rottweiler,2016-01-14 04:41:12,7,10,Marq,none,1753,527
687664829264453632,1,pug,2016-01-14 15:57:26,11,10,Opal,none,1800,469
687704180304273409,1,miniature_pinscher,2016-01-14 18:33:48,9,10,Blakely,none,2236,764
687807801670897665,1,Staffordshire_bullterrier,2016-01-15 01:25:33,11,10,Troope,none,2197,656
687818504314159109,1,Lakeland_terrier,2016-01-15 02:08:05,12,10,none,pupper,2279,861
687826841265172480,1,Pomeranian,2016-01-15 02:41:12,12,10,Louis,none,2513,1007
688064179421470721,1,Eskimo_dog,2016-01-15 18:24:18,11,10,Kilo,none,1593,322
688385280030670848,2,golden_retriever,2016-01-16 15:40:14,12,10,Louis,none,8512,4074
688519176466644993,1,Pembroke,2016-01-17 00:32:18,12,10,none,pupper,2146,657
688547210804498433,1,papillon,2016-01-17 02:23:42,9,10,Frönq,none,2393,626
688789766343622656,1,American_Staffordshire_terrier,2016-01-17 18:27:32,8,10,Pubert,none,2048,604
688804835492233216,3,malinois,2016-01-17 19:27:24,12,10,none,none,886,168
688828561667567616,1,Cardigan,2016-01-17 21:01:41,9,10,Brad,none,1273,321
688898160958271489,1,Ibizan_hound,2016-01-18 01:38:15,10,10,none,none,1921,710
688916208532455424,1,Pembroke,2016-01-18 02:49:58,11,10,none,pupper,2491,772
689143371370250240,1,English_springer,2016-01-18 17:52:38,10,10,Trip,pupper,1862,454
689154315265683456,1,cocker_spaniel,2016-01-18 18:36:07,9,10,none,none,2854,895
689275259254616065,1,American_Staffordshire_terrier,2016-01-19 02:36:42,10,10,Lucky,none,1051,225
689280876073582592,3,Chihuahua,2016-01-19 02:59:01,10,10,Herald,none,1820,638
689283819090870273,1,Scotch_terrier,2016-01-19 03:10:43,9,10,Chipson,none,3008,1004
689517482558820352,1,Pembroke,2016-01-19 18:39:13,12,10,Carl,none,3118,1293
689557536375177216,1,Eskimo_dog,2016-01-19 21:18:22,12,10,Downright,none,1896,403
689599056876867584,1,cocker_spaniel,2016-01-20 00:03:21,11,10,none,none,10732,5005
689623661272240129,1,toy_poodle,2016-01-20 01:41:08,10,10,Lucy,pupper,2038,579
689661964914655233,1,Italian_greyhound,2016-01-20 04:13:20,12,10,Luca,none,2992,850
689835978131935233,1,collie,2016-01-20 15:44:48,11,10,Fyn,none,2014,688
689877686181715968,1,Old_English_sheepdog,2016-01-20 18:30:32,9,10,Durg,none,2789,1043
689905486972461056,4,Pomeranian,2016-01-20 20:21:00,11,10,Gizmo,none,2253,621
